,k,direction,mean_aucpr,std_aucpr,selected_cols
0,5,forward,0.13505209933002033,0.00944905493848908,"['history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'days_since_last_action']"
1,10,forward,0.14033766686317634,0.009022071731841698,"['recent_Error', 'recent_Add Friend', 'history_page', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Submit Downgrade', 'is_paid', 'days_since_last_action']"
2,15,forward,0.14057573574303653,0.009690306861813092,"['recent_Thumbs Up', 'recent_Error', 'recent_Add Friend', 'recent_Upgrade', 'history_page', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Add Friend', 'history_Submit Downgrade', 'ads_per_hour', 'is_paid', 'days_since_last_action']"
3,20,forward,0.13932923469943492,0.011300046678932108,"['last_gap_days', 'std_song_duration', 'recent_Thumbs Up', 'recent_Error', 'recent_Add Friend', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Add Friend', 'history_Submit Downgrade', 'ads_per_hour', 'errors_per_session', 'is_paid', 'days_since_last_action']"
4,25,forward,0.1378447895029133,0.00987088538238018,"['last_gap_days', 'avg_song_duration', 'std_song_duration', 'gap_acceleration', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Error', 'recent_Add Friend', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Add Friend', 'history_Submit Downgrade', 'history_Upgrade', 'ads_per_hour', 'errors_per_session', 'is_paid', 'tenure_days', 'days_since_last_action']"
5,30,forward,0.13624302042174785,0.008621108262650909,"['last_gap_days', 'avg_song_duration', 'std_song_duration', 'gap_acceleration', 'recent_page', 'recent_song', 'recent_length', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Error', 'recent_Add Friend', 'recent_Submit Downgrade', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Add Friend', 'history_Submit Downgrade', 'history_Upgrade', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'tenure_days', 'days_since_last_action']"
6,34,forward,0.13473360395593542,0.010230276228708117,"['avg_gap_days', 'last_gap_days', 'avg_song_duration', 'std_song_duration', 'gap_acceleration', 'recent_page', 'recent_song', 'recent_length', 'recent_Roll Advert', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Error', 'recent_Add Friend', 'recent_Submit Downgrade', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Add Friend', 'history_Submit Downgrade', 'history_Upgrade', 'trend_song_duration', 'trend_session_intensity', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'tenure_days', 'days_since_last_action']"
7,5,backward,0.1337398799328215,0.013417242907999413,"['history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'is_paid', 'days_since_last_action']"
8,10,backward,0.1385101401294913,0.011178844064613502,"['avg_gap_days', 'history_page', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Add Friend', 'history_Submit Downgrade', 'trend_session_intensity', 'is_paid', 'days_since_last_action']"
9,15,backward,0.1384835681880238,0.008444355841358315,"['avg_gap_days', 'recent_song', 'recent_length', 'history_page', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Add Friend', 'history_Submit Downgrade', 'history_Upgrade', 'trend_session_intensity', 'ads_per_hour', 'is_paid', 'days_since_last_action']"
