,k,direction,mean_aucpr,std_aucpr,selected_cols
0,5,forward,0.13054267972071174,0.006053543273088062,"['history_Roll Advert', 'history_Thumbs Down', 'history_Upgrade', 'is_paid', 'days_since_last_action']"
1,10,forward,0.1349621117990551,0.007749946957480443,"['gap_acceleration', 'recent_sessionId', 'history_page', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Submit Downgrade', 'history_Upgrade', 'is_paid', 'days_since_last_action']"
2,15,forward,0.13510971080100212,0.008200706598350687,"['avg_song_duration', 'std_song_duration', 'gap_acceleration', 'recent_song', 'recent_sessionId', 'recent_Thumbs Down', 'history_page', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Submit Downgrade', 'history_Upgrade', 'errors_per_session', 'is_paid', 'days_since_last_action']"
3,20,forward,0.13525705604732413,0.008519523367557923,"['avg_gap_days', 'avg_song_duration', 'std_song_duration', 'gap_acceleration', 'recent_page', 'recent_song', 'recent_length', 'recent_sessionId', 'recent_Thumbs Down', 'history_page', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Submit Downgrade', 'history_Upgrade', 'ads_per_hour', 'errors_per_session', 'is_paid', 'days_since_last_action']"
4,25,forward,0.13504578383196603,0.008665633551904748,"['avg_gap_days', 'avg_song_duration', 'std_song_duration', 'gap_acceleration', 'recent_page', 'recent_song', 'recent_length', 'recent_sessionId', 'recent_Roll Advert', 'recent_Thumbs Down', 'recent_Thumbs Up', 'history_page', 'history_song', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Submit Downgrade', 'history_Upgrade', 'trend_session_intensity', 'ads_per_hour', 'errors_per_session', 'is_paid', 'tenure_days', 'days_since_last_action']"
5,30,forward,0.13499188322300876,0.008532678745124155,"['avg_gap_days', 'last_gap_days', 'avg_song_duration', 'std_song_duration', 'gap_acceleration', 'recent_page', 'recent_song', 'recent_length', 'recent_sessionId', 'recent_Roll Advert', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Add Friend', 'history_Submit Downgrade', 'history_Upgrade', 'trend_song_duration', 'trend_session_intensity', 'ads_per_hour', 'errors_per_session', 'is_paid', 'tenure_days', 'days_since_last_action']"
6,34,forward,0.13424998222952253,0.008377169041101822,"['avg_gap_days', 'last_gap_days', 'avg_song_duration', 'std_song_duration', 'gap_acceleration', 'recent_page', 'recent_song', 'recent_length', 'recent_sessionId', 'recent_Roll Advert', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Error', 'recent_Add Friend', 'recent_Submit Downgrade', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Add Friend', 'history_Submit Downgrade', 'history_Upgrade', 'trend_song_duration', 'trend_session_intensity', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'tenure_days', 'days_since_last_action']"
7,5,backward,0.12931942071803007,0.006868309917858045,"['recent_page', 'history_Roll Advert', 'history_Thumbs Down', 'is_paid', 'days_since_last_action']"
8,10,backward,0.13449068188867042,0.00821323236416943,"['recent_page', 'recent_sessionId', 'recent_Thumbs Up', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Submit Downgrade', 'history_Upgrade', 'is_paid', 'days_since_last_action']"
9,15,backward,0.13563025015306884,0.009015587662768705,"['std_song_duration', 'gap_acceleration', 'recent_page', 'recent_sessionId', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Submit Downgrade', 'history_Upgrade', 'ads_per_hour', 'is_paid', 'days_since_last_action']"
10,20,backward,0.13525377644693454,0.007872717791871217,"['last_gap_days', 'std_song_duration', 'gap_acceleration', 'recent_page', 'recent_song', 'recent_sessionId', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Upgrade', 'history_page', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Submit Downgrade', 'history_Upgrade', 'trend_session_intensity', 'ads_per_hour', 'recent_downgrade_attempt', 'is_paid', 'days_since_last_action']"
11,25,backward,0.1351326012536932,0.007540329898075337,"['avg_gap_days', 'last_gap_days', 'avg_song_duration', 'std_song_duration', 'gap_acceleration', 'recent_page', 'recent_song', 'recent_sessionId', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Submit Downgrade', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Submit Downgrade', 'history_Upgrade', 'trend_session_intensity', 'ads_per_hour', 'recent_downgrade_attempt', 'is_paid', 'days_since_last_action']"
12,30,backward,0.1349878621282356,0.007681500598212437,"['avg_gap_days', 'last_gap_days', 'avg_song_duration', 'std_song_duration', 'gap_acceleration', 'recent_page', 'recent_song', 'recent_length', 'recent_sessionId', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Submit Downgrade', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Submit Downgrade', 'history_Upgrade', 'trend_song_duration', 'trend_session_intensity', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'tenure_days', 'days_since_last_action']"
13,34,backward,0.13424998222952253,0.008377169041101822,"['avg_gap_days', 'last_gap_days', 'avg_song_duration', 'std_song_duration', 'gap_acceleration', 'recent_page', 'recent_song', 'recent_length', 'recent_sessionId', 'recent_Roll Advert', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Error', 'recent_Add Friend', 'recent_Submit Downgrade', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Add Friend', 'history_Submit Downgrade', 'history_Upgrade', 'trend_song_duration', 'trend_session_intensity', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'tenure_days', 'days_since_last_action']"
