,k,direction,mean_aucpr,std_aucpr,selected_cols
0,5,forward,0.1334582958411147,0.007290616727681963,"['history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'ads_per_hour', 'days_since_last_action']"
1,10,forward,0.14098544164873497,0.008142682856099636,"['recent_Upgrade', 'history_page', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Submit Downgrade', 'ads_per_hour', 'is_paid', 'days_since_last_action']"
2,15,forward,0.14153345141324802,0.00771451779995605,"['recent_Upgrade', 'history_page', 'history_length', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Submit Downgrade', 'history_Upgrade', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'tenure_days', 'days_since_last_action']"
3,20,forward,0.14074068622151237,0.007473434912515201,"['recent_Error', 'recent_Submit Downgrade', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Add Friend', 'history_Submit Downgrade', 'history_Upgrade', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'tenure_days', 'days_since_last_action']"
4,25,forward,0.13972824454750604,0.007608607492651867,"['gap_acceleration', 'recent_page', 'recent_song', 'recent_Thumbs Up', 'recent_Error', 'recent_Submit Downgrade', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Add Friend', 'history_Submit Downgrade', 'history_Upgrade', 'trend_session_intensity', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'tenure_days', 'days_since_last_action']"
5,30,forward,0.1378431266117646,0.007204517310552867,"['avg_gap_days', 'gap_acceleration', 'recent_page', 'recent_song', 'recent_length', 'recent_sessionId', 'recent_Roll Advert', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Error', 'recent_Submit Downgrade', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Add Friend', 'history_Submit Downgrade', 'history_Upgrade', 'trend_session_intensity', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'tenure_days', 'days_since_last_action']"
6,34,forward,0.13720205856071904,0.0071157720876972395,"['avg_gap_days', 'last_gap_days', 'avg_song_duration', 'std_song_duration', 'gap_acceleration', 'recent_page', 'recent_song', 'recent_length', 'recent_sessionId', 'recent_Roll Advert', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Error', 'recent_Add Friend', 'recent_Submit Downgrade', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Add Friend', 'history_Submit Downgrade', 'history_Upgrade', 'trend_session_intensity', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'tenure_days', 'days_since_last_action']"
7,5,backward,0.1332711039615735,0.009384714067935054,"['history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'days_since_last_action']"
8,10,backward,0.14061590253907688,0.006992653571637793,"['recent_Upgrade', 'history_song', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'ads_per_hour', 'recent_downgrade_attempt', 'is_paid', 'days_since_last_action']"
9,15,backward,0.1402509303452725,0.007021781220554976,"['gap_acceleration', 'recent_page', 'recent_Thumbs Up', 'recent_Upgrade', 'history_song', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Upgrade', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'days_since_last_action']"
10,20,backward,0.14050368341755304,0.008151133720917872,"['gap_acceleration', 'recent_page', 'recent_song', 'recent_Thumbs Up', 'recent_Error', 'recent_Upgrade', 'history_song', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Submit Downgrade', 'history_Upgrade', 'trend_session_intensity', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'tenure_days', 'days_since_last_action']"
11,25,backward,0.13979521429884928,0.007494354055756563,"['gap_acceleration', 'recent_page', 'recent_song', 'recent_length', 'recent_Thumbs Up', 'recent_Error', 'recent_Submit Downgrade', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Add Friend', 'history_Submit Downgrade', 'history_Upgrade', 'trend_session_intensity', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'tenure_days', 'days_since_last_action']"
12,30,backward,0.13840930775270038,0.007679939343886387,"['avg_gap_days', 'last_gap_days', 'gap_acceleration', 'recent_page', 'recent_song', 'recent_length', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Error', 'recent_Add Friend', 'recent_Submit Downgrade', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Add Friend', 'history_Submit Downgrade', 'history_Upgrade', 'trend_session_intensity', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'tenure_days', 'days_since_last_action']"
13,34,backward,0.1373924411613381,0.007895481805163997,"['avg_gap_days', 'last_gap_days', 'avg_song_duration', 'std_song_duration', 'gap_acceleration', 'recent_page', 'recent_song', 'recent_length', 'recent_sessionId', 'recent_Thumbs Down', 'recent_Thumbs Up', 'recent_Error', 'recent_Add Friend', 'recent_Submit Downgrade', 'recent_Upgrade', 'history_page', 'history_song', 'history_length', 'history_sessionId', 'history_Roll Advert', 'history_Thumbs Down', 'history_Thumbs Up', 'history_Error', 'history_Add Friend', 'history_Submit Downgrade', 'history_Upgrade', 'trend_song_duration', 'trend_session_intensity', 'ads_per_hour', 'errors_per_session', 'recent_downgrade_attempt', 'is_paid', 'tenure_days', 'days_since_last_action']"
