model_type,feature_set,n_features,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp
xgb,static,7,0.5,0.5643881181426623,0.05541395915606669,0.0,0.0,0.0,48185,0,2363,0
hgb,static,7,0.5,0.5640511111976689,0.055453160505178664,0.05754422867445442,0.6483283961066441,0.1057062029945491,23094,25091,831,1532
rf,static,7,0.5,0.5630166407498677,0.054771249836445664,0.05810655423533921,0.641557342361405,0.10656169823920149,23611,24574,847,1516
et,static,7,0.5,0.5632185708989162,0.054880710795742124,0.05755125070528493,0.6474820143884892,0.10570678457924554,23130,25055,833,1530
logreg,static,7,0.5,0.5674373055499041,0.055652231828142086,0.05776801938219261,0.6457892509521794,0.10604955001911116,23295,24890,837,1526
svm,static,7,0.5,0.5672651045916407,0.055655042551325924,0.0,0.0,0.0,48185,0,2363,0
xgb,recency,15,0.5,0.6913971538405701,0.1136139959373161,0.14678362573099416,0.21244181125687686,0.1736123119488155,45267,2918,1861,502
hgb,recency,15,0.5,0.6868200265490018,0.10848602794136855,0.093952802359882,0.5391451544646636,0.16002009671544307,35899,12286,1089,1274
rf,recency,15,0.5,0.6566990032728897,0.09307149150005814,0.1487603305785124,0.12949640287769784,0.13846153846153847,46434,1751,2057,306
et,recency,15,0.5,0.666063342673803,0.10295615810757153,0.11790900290416263,0.25772323317816337,0.1617959617428268,43629,4556,1754,609
logreg,recency,15,0.5,0.6948577458220935,0.11248709989764326,0.08790523690773068,0.596699111299196,0.15323588545345868,33555,14630,953,1410
svm,recency,15,0.5,0.6944128618755009,0.11212083265254517,0.35,0.0029623360135421074,0.005874947545111205,48172,13,2356,7
xgb,history,14,0.5,0.6735110450969868,0.09689493333647918,0.14250207125103562,0.07278882776132035,0.09635854341736695,47150,1035,2191,172
hgb,history,14,0.5,0.6782873052710559,0.10300076186932208,0.08749061625605678,0.5425306813372831,0.15068171133051245,34814,13371,1081,1282
rf,history,14,0.5,0.6398798650865609,0.09248208836952998,0.1658327376697641,0.098180279305967,0.12333864965443912,47018,1167,2131,232
et,history,14,0.5,0.659845928139408,0.09579450117207894,0.12513144058885384,0.2014388489208633,0.1543700340522134,44857,3328,1887,476
logreg,history,14,0.5,0.6885600580812656,0.10796214210673914,0.09339308948966314,0.5467625899280576,0.15953571649070816,35643,12542,1071,1292
svm,history,14,0.5,0.6883791096269838,0.1076840312252266,0.3170731707317073,0.005501481168006771,0.010815307820299502,48157,28,2350,13
xgb,trend,12,0.5,0.685239329427143,0.09500888230462244,0.13372664700098327,0.11510791366906475,0.1237207186718217,46423,1762,2091,272
hgb,trend,12,0.5,0.6832398854552284,0.09670609079104034,0.08444444444444445,0.6030469741853576,0.14814429774404825,32735,15450,938,1425
